09/08/2016 00:14:03: Carregando dados de mysql.
09/08/2016 00:14:03: ID: #artemis#
09/08/2016 00:14:03: Name: Canal 1
09/08/2016 00:14:03: Discovery: Elysium Diamond #1.0.0
09/08/2016 00:14:03: IP: 127.0.0.1
09/08/2016 00:14:03: Port: 10120
09/08/2016 00:14:03: MaximumConnections: 2000
09/08/2016 00:14:03: Logs: True
09/08/2016 00:14:03: ClientSerial: #elysium#
09/08/2016 00:14:03: Sleep: 1
09/08/2016 00:14:03: TestServer: False
09/08/2016 00:14:03: WorldServer 1 ID: Artemis
09/08/2016 00:14:03: WorldServer 2 ID: 
09/08/2016 00:14:03: WorldServer 3 ID: 
09/08/2016 00:14:03: WorldServer 4 ID: 
09/08/2016 00:14:03: WorldServer 5 ID: 
09/08/2016 00:14:03: Connectado ao banco de dados
09/08/2016 00:14:03: Carregando experiência
09/08/2016 00:14:03: Exp Máximo: 121 22353256174
09/08/2016 00:14:03: Carregando guilds.
09/08/2016 00:14:03: Carregando membros.
09/08/2016 00:14:03: Carregando classes
09/08/2016 00:14:03: Carregando NPC
09/08/2016 00:14:04: Servidor iniciado
09/08/2016 00:14:04: Status changed to connected: 127.0.0.1
09/08/2016 00:14:29: Data From World Server ID: 1 Account: akaruz Char ID: 1 Slot: 0 AD42490A66D98128
09/08/2016 00:14:30: Status changed to connected: 127.0.0.1
09/08/2016 00:14:30: Received From Client: AD42490A66D98128
09/08/2016 00:14:30: Player Found ID: 1 Name: Joanlac
09/08/2016 00:29:38: Exp Máximo: 121 22353256174
09/08/2016 00:29:38: Carregando guilds.
09/08/2016 00:29:38: Carregando membros.
09/08/2016 00:29:38: Carregando classes
09/08/2016 00:29:38: Carregando NPC
09/08/2016 00:37:27: Carregando dados de mysql.
09/08/2016 00:37:27: ID: #artemis#
09/08/2016 00:37:27: Name: Canal 1
09/08/2016 00:37:27: Discovery: Elysium Diamond #1.0.0
09/08/2016 00:37:27: IP: 127.0.0.1
09/08/2016 00:37:27: Port: 10120
09/08/2016 00:37:27: MaximumConnections: 2000
09/08/2016 00:37:27: Logs: True
09/08/2016 00:37:27: ClientSerial: #elysium#
09/08/2016 00:37:27: Sleep: 1
09/08/2016 00:37:27: TestServer: False
09/08/2016 00:37:27: WorldServer 1 ID: Artemis
09/08/2016 00:37:27: WorldServer 2 ID: 
09/08/2016 00:37:27: WorldServer 3 ID: 
09/08/2016 00:37:27: WorldServer 4 ID: 
09/08/2016 00:37:27: WorldServer 5 ID: 
09/08/2016 00:37:27: Connectado ao banco de dados
09/08/2016 00:37:27: Carregando experiência
09/08/2016 00:37:27: Exp Máximo: 121 22353256174
09/08/2016 00:37:27: Carregando guilds.
09/08/2016 00:37:27: Carregando membros.
09/08/2016 00:37:27: Carregando classes
09/08/2016 00:37:27: Carregando NPC
09/08/2016 00:37:27: Servidor iniciado
09/08/2016 00:37:35: Status changed to connected: 127.0.0.1
09/08/2016 00:38:33: Data From World Server ID: 1 Account: akaruz Char ID: 1 Slot: 0 21402B6634AF1C8C
09/08/2016 00:38:35: Status changed to connected: 127.0.0.1
09/08/2016 00:38:35: Received From Client: 21402B6634AF1C8C
09/08/2016 00:38:35: Player Found ID: 1 Name: Joanlac
09/08/2016 00:39:08: Data From World Server ID: 2 Account: dragonick Char ID: 10 Slot: 0 371F3B69BF7A06DB
09/08/2016 00:39:10: Status changed to connected: 127.0.0.1
09/08/2016 00:39:10: Received From Client: 371F3B69BF7A06DB
09/08/2016 00:39:10: Player Found ID: 10 Name: sacizenta
09/08/2016 00:39:11: sacizenta Dir: 4 X: 0 Y: 1
09/08/2016 00:39:12: sacizenta Dir: 10 X: 1 Y: 1
09/08/2016 00:39:12: sacizenta Dir: 10 X: 2 Y: 1
09/08/2016 00:39:12: sacizenta Dir: 10 X: 3 Y: 1
09/08/2016 00:39:12: sacizenta Dir: 10 X: 4 Y: 1
09/08/2016 00:39:12: sacizenta Dir: 10 X: 5 Y: 1
09/08/2016 00:39:13: sacizenta Dir: 4 X: 5 Y: 2
09/08/2016 00:39:13: sacizenta Dir: 10 X: 6 Y: 2
09/08/2016 00:39:13: sacizenta Dir: 10 X: 7 Y: 2
09/08/2016 00:39:13: sacizenta Dir: 10 X: 8 Y: 2
09/08/2016 00:39:13: sacizenta Dir: 4 X: 8 Y: 3
09/08/2016 00:39:14: sacizenta Dir: 4 X: 8 Y: 4
09/08/2016 00:39:14: sacizenta Dir: 10 X: 9 Y: 4
09/08/2016 00:39:14: sacizenta Dir: 10 X: 10 Y: 4
09/08/2016 00:39:14: sacizenta Dir: 10 X: 11 Y: 4
09/08/2016 00:39:14: sacizenta Dir: 10 X: 12 Y: 4
